Current dataset: FashionMNIST | Current depth: 3
Epoch 30 | Train Loss: 0.4654 | Test Accuracy: 83.21% | AUC: 0.9762
Epoch 31 | Train Loss: 0.4634 | Test Accuracy: 83.53% | AUC: 0.9768
Epoch 32 | Train Loss: 0.4620 | Test Accuracy: 83.57% | AUC: 0.9770
Epoch 33 | Train Loss: 0.4598 | Test Accuracy: 83.54% | AUC: 0.9773
Epoch 34 | Train Loss: 0.4585 | Test Accuracy: 83.45% | AUC: 0.9771
Epoch 35 | Train Loss: 0.4578 | Test Accuracy: 83.24% | AUC: 0.9773
Epoch 36 | Train Loss: 0.4549 | Test Accuracy: 83.40% | AUC: 0.9773
Epoch 37 | Train Loss: 0.4543 | Test Accuracy: 83.69% | AUC: 0.9771
Epoch 38 | Train Loss: 0.4517 | Test Accuracy: 83.41% | AUC: 0.9772
Epoch 39 | Train Loss: 0.4512 | Test Accuracy: 83.47% | AUC: 0.9777
Current dataset: FashionMNIST | Current depth: 7
Epoch 0 | Train Loss: 1.9467 | Test Accuracy: 66.72% | AUC: 0.9459
Epoch 1 | Train Loss: 1.4613 | Test Accuracy: 69.64% | AUC: 0.9528
Epoch 2 | Train Loss: 1.1615 | Test Accuracy: 70.75% | AUC: 0.9563
Epoch 3 | Train Loss: 0.9800 | Test Accuracy: 72.05% | AUC: 0.9598
Epoch 4 | Train Loss: 0.8692 | Test Accuracy: 72.33% | AUC: 0.9616
Epoch 5 | Train Loss: 0.8002 | Test Accuracy: 73.18% | AUC: 0.9635
Epoch 6 | Train Loss: 0.7544 | Test Accuracy: 73.69% | AUC: 0.9653
Epoch 7 | Train Loss: 0.7212 | Test Accuracy: 75.13% | AUC: 0.9670
Epoch 8 | Train Loss: 0.6939 | Test Accuracy: 76.84% | AUC: 0.9677
Epoch 9 | Train Loss: 0.6701 | Test Accuracy: 79.01% | AUC: 0.9708
Epoch 10 | Train Loss: 0.6434 | Test Accuracy: 80.75% | AUC: 0.9703
Epoch 11 | Train Loss: 0.6147 | Test Accuracy: 81.27% | AUC: 0.9723
Epoch 12 | Train Loss: 0.5875 | Test Accuracy: 82.06% | AUC: 0.9733
Epoch 13 | Train Loss: 0.5656 | Test Accuracy: 82.01% | AUC: 0.9738
Epoch 14 | Train Loss: 0.5493 | Test Accuracy: 82.17% | AUC: 0.9744
Epoch 15 | Train Loss: 0.5373 | Test Accuracy: 82.32% | AUC: 0.9754
Epoch 16 | Train Loss: 0.5258 | Test Accuracy: 82.29% | AUC: 0.9746
Epoch 17 | Train Loss: 0.5162 | Test Accuracy: 82.32% | AUC: 0.9749
Epoch 18 | Train Loss: 0.5100 | Test Accuracy: 82.11% | AUC: 0.9753
Epoch 19 | Train Loss: 0.5049 | Test Accuracy: 82.92% | AUC: 0.9755
Epoch 20 | Train Loss: 0.4996 | Test Accuracy: 82.93% | AUC: 0.9760
Epoch 21 | Train Loss: 0.4943 | Test Accuracy: 82.88% | AUC: 0.9760
